Anchor Word
Harry Potter
Ron Weasley
Hermione Granger
Albus Dumbledore
Rubeus Hagrid
Severus Snape
Minerva McGonagall
Horace Slughorn
Voldemort
Neville Longbottom
Remus Lupin
Draco Malfoy
Alastor Moody
Fred Weasley
Dolores Umbridge
Arthur Weasley
Cornelius Fudge
Sirius Black
George Weasley
Ginny Weasley
Vernon Dursley
Bellatrix Lestrange
Lucius Malfoy
Tom Riddle
Luna Lovegood
Molly Weasley
Dobby
Gilderoy Lockhart
Seamus Finnigan
Griphook
Dudley Dursley
Petunia Dursley
Barty Crouch Sr.
Xenophilius Lovegood
Argus Filch
Cedric Diggory
Percy Weasley
Sybill Trelawney
Moaning Myrtle
Aberforth Dumbledore
Quirinus Quirrell
James Potter
Garrick Ollivander
Peter Pettigrew
Lily Potter
Oliver Wood
Nearly Headless Nick
Kreacher
Igor Karkaroff
Rolanda Hooch
Rufus Scrimgeour
Lee Jordan
Scabior
Helena Ravenclaw
Cho Chang
Kingsley Shacklebolt
Rita Skeeter
Stanley Shunpike
Filius Flitwick
Marge Dursley
Nymphadora Tonks
Elphias Doge
Narcissa Malfoy
Bogrod
Lavender Brown
Rosmerta
Amos Diggory
Aragog
Olympe Maxime
Corban Yaxley
Cormac McLaggen
Susan Bones
Bill Weasley
Angelina Johnson
Dean Thomas
Mundungus Fletcher
Muriel
Parvati Patil
Pomona Sprout
Vincent Crabbe
Fleur Delacour
Marcus Flint
Mary Cattermole
Albus Potter
Poppy Pomfrey
Serpent of Slitherin
Firenze
Arabella Figg
Barty Crouch Jr.
Mrs. Cole
Pansy Parkinson
Tom
Grawp
Katie Bell
Mrs. Granger
Pius Thicknesse
Bane
Gellert Grindelwald
Gregory Goyle
Leanne
Padma Patil
Fenrir Greyback
Magorian
Bathilda Bagshot
Blaise Zabini
Colin Creevey
Everard
Griselda Marchbanks
Justin Finch-Fletchley
Mr. Granger
Nigel Wolpert
Perkins
Phineas
Viktor Krum
Walburga Black
Zacharias Smith
Bloody Baron
Ernest Macmillan
Michael Corner
Alecto Carrow
Charity Burbage
Dilys Derwent
Eldred Worple
Marcus Belby
Mykew Gregorovitch
Other
Students
Sorting Hat
Ghosts
Merpeople
Gang thug
Goblin
Station guard
Girl
Guard
All
Maid
Boy
Man
Woman
The Fat Lady
Snatcher
Wizard
Diary
Trolley witch
Waitress
Ghost
Howler
Old man
Shrunken head
Skinny kid
Snake
Witch
Class
Whomping Willow
Centaur
Death Eater
Man in a painting
Photographer
Pixie
Student
Waiter
Boy 2
Crowd
Gryffindors
Professors
Human
Half-Human/Half-Giant
Werewolf
House Elf
Goblin
Ghost
Human (Part-Goblin)
Acromantula
Human(Werewolftraits)
Human (Quarter-Veela)
Basilisk
Centaur
Giant
Male
Female
Human
Gryffindor
Slytherin
Ravenclaw
Hufflepuff
Beauxbatons Academy of Magic
Durmstrang Institute
Stag
Jack Russell Terrier
Otter
Phoenix
Doe
Cat
Wolf
Weasel
Horse
Hare
Fox
Goat
Swan
Lynx
Jack rabbit
Boar
Squirrel
Holly
Vine
Elder
Oak
Fir
Cedar
Yew
Cherry
Cypress
Hawthorn
Birch
Walnut
Elm
Hazel
Alder
Mahogany
Hornbeam
Chestnut
Willow
Phoenix Feather
Dragon Heartstring
Thestral Tail Hair
Unicorn Hair
Harry Potter and the Philosopher's Stone
Harry Potter and the Chamber of Secrets
Harry Potter and the Prisoner of Azkaban
Harry Potter and the Goblet of Fire
Harry Potter and the Order of the Phoenix
Harry Potter and the Half-Blood Prince
Harry Potter and the Deathly Hallows Part 1
Harry Potter and the Deathly Hallows Part 2
Flourish & Blotts
Gringotts Wizarding Bank
Knockturn Alley
Ollivanders
The Leaky Cauldron
Weasleys' Wizard Wheezes
12 Grimmauld Place
4 Privet Drive
Godric's Hollow
Hut-on-the-Rock
Little Whinging
Lovegood House
Malfoy Manor
Riddle House
Shell Cottage
Spinner's End
The Burrow
Budleigh Babberton
Honeydukes
Shrieking Shack
The Hog's Head
The Three Broomsticks
Astronomy Tower
Boathouse
Chamber of Secrets
Charms Classroom
Clocktower Courtyard
Corridors
Covered Bridge
Defense Against the Dark Arts Classroom
Detention Room
Divination Classroom
Entrance Hall
First-Floor Girls' Toilets
Forbidden Forest
Great Hall
Great Lake
Greenhouse
Griffindor Common Room
Hagrid's Hut
Headmaster's Office
Hogwarts Express
Hospital Wing
Library
Middle Courtyard
Moaning Myrtle's Bathroom
Owlery
Pensieve
Potions Classroom
Prefect's Bathroom
Quidditch Pitch
Quidditch Training Pitch
Ravenclaw Tower
Restricted Section
Room of Requirement
Sixth-floor boys' bathroom
Slytherin Common Room
The Quad
Third-floor Corridor
Tom Riddle's Diary
Transfiguration Classroom
Triwizard Maze
Trophy Room
Underground Chambers
Unknown Classroom
Viaduct Courtyard
Whomping Willow
Forest of Dean
Knight Bus
Ministry of Magic
Platform Nine and Three-Quarters
Quidditch World Cup
The Cave
Unknown
Diagon Alley
Dwellings
Hogsmeade
Hogwarts
Other Magical Locations
Accio
Aguamenti
Alarte Ascendare
Alohomora
Arania Exumai
Arresto Momentum
Avada Kedavra
Bombarda
Brackium Emendo
Cistem Aperio
Colloportus
Confringo
Crucio
Diffindo
Dissendium
Engorgio
Episkey
Expecto Patronum
Expelliarmus
Expulso
Finite
Homenum Revelio
Immobulus
Impedimenta
Imperio
Incarcerous
Incendio
Levicorpus
Locomotor
Locomotor Mortis
Lumos
Lumos Maxima
Lumos Solem
Muffliato
Nox
Obliviate
Oculus Reparo
Oppugno
Peskipiksi Pesternomi
Petrificus Totalus
Piertotum Locomotor
Portus
Priori Incantatem
Protego
Protego Maxima
Protego totalum
Reducio
Relashio
Reparo
Repello Inimicum
Repello Muggletum
Revelio
Rictusempra
Riddikulus
Salvio hexia
Sectumsempra
Serpensortia
Stupefy
Vera Verto
Vipera Evanesca
Wingardium Leviosa
Summoning Charm
Water-Making Spell
Launch an object up into the air
Unlocking Charm
Spider repelling spell
Slowing Charm
Killing Curse
Exploding Charm
Brackium Emendo
Cistem Aperio
Locking Spell
Blasting Curse
Cruciatus Curse
Severing Charm
Dissendium
Engorgement Charm
Episkey
Patronus Charm
Disarming Charm
Expulso Curse
General Counter-Spell
Human Presence Revealing Spell
Freezing Charm
Impediment Jinx
Imperius Curse
Incarcerous Spell
Fire-Making Spell
Levicorpus
Locomotion Charm
Leg-Locker Curse
Wand-Lighting Charm
Lumos Maxima
