question,answer,anchor_words
What are the three European wizarding schools that participate in the Triwizard Tournament?,"Hogwarts, Beauxbatons, and Durmstrang.",['Hogwarts']
When was Hogwarts founded?,10th century,['Hogwarts']
What is a Wronski Feint?,Pretending to dive for the Snitch,[]
You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,[]
Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate?,14 sickles.,['Knight Bus']
What charm creates water?,Aguamenti,['Aguamenti']
Which of these is an ingredient in Befuddlement Draughts?,Sneezewort,[]
What magical creature runs guards wand wood trees?,Bowtruckles,[]
Name all seven Weasley children.,"Bill, Charlie, Percy, Fred, George, Ron, and Ginny.",[]
Why did student initially think Harry was the Heir of Slytherin?,He can speak Parseltongue,"['Slytherin', 'Heir of Slytherin']"
Vipera Evanesca is used to vaporize what kind of creature?,Snake,"['Snake', 'Vipera Evanesca']"
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,[]
How old was Luna when she lost her mom?,Nine,[]
Who or what determines the House for each first year student?,The Sorting Hat,"['Sorting Hat', 'The Sorting Hat']"
What is the root language of any spells?,Latin,[]
What did Regulus Black become after he died?,Inferi,[]
Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance?,Boris the Bewildered.,"['Cedric Diggory', 'Fir']"
"Who is known as the ""Chosen One""?",Harry Potter,['Harry Potter']
Who destroyed the Horcrux in Helga Hufflepuff's Cup?,Hermione Granger,"['Hermione Granger', 'Hufflepuff']"
What is Filch the Hogwarts caretaker's greatest secret?,He's a Squib.,['Hogwarts']
What is the name of America's magical government?,MACUSA,[]
What year was the first match?,1050 AD,[]
What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time?,Polyjuice Potion.,['Polyjuice Potion']
What kind of core did Harry's first want possess?,Phoenix Feather,"['Phoenix', 'Phoenix Feather']"
What did a Boggart reveal Seamus Finnigan's worst fear to be?,Banshee,['Seamus Finnigan']
What is Ron's middle name?,Bilius,[]
Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament?,Swedish Short-Snout,['Cedric Diggory']
Where are flying lessons held?,Training Grounds,[]
"""Lemon Drop"" is the password to whose office?",Dumbledore,[]
A statue of what creature marks the entrance to the Headmaster's Office?,Gargoyle,"[""Headmaster's Office""]"
Who has been to every Quidditch World Cup since they were born?,Merula,"['Quidditch World Cup', 'Quidditch']"
